conc,percentmortality,toxicant,concunit,endpoint,orgage,ageunits,exposure,exposureunits,exposuretype,nominalormeasured,authoryear
0.620684304,34,thiobencarb,μM,mortality,13,days,96,hours,flowthrough,measured,cswrcb1987
1.20257584,42,thiobencarb,μM,mortality,13,days,96,hours,flowthrough,measured,cswrcb1987
1.745674606,42,thiobencarb,μM,mortality,13,days,96,hours,flowthrough,measured,cswrcb1987
3.103421522,94,thiobencarb,μM,mortality,13,days,96,hours,flowthrough,measured,cswrcb1987
5.624951509,100,thiobencarb,μM,mortality,13,days,96,hours,flowthrough,measured,cswrcb1987
0.019396385,0,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
0.931026457,0,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
1.823260144,0,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
3.452556443,97.5,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
5.818915354,97.5,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
10.08611995,100,thiobencarb,μM,mortality,90,days,96,hours,flowthrough,measured,cswrcb1987
